"neighborhood","district","year","fac_culture","fac_sports","fac_health","fac_welfare","fac_schools","hou_corporation","hou_occupant","hou_other","hou_value","inc_income","inc_gini","pop_total","pop_unemployed","saf_neighbors","saf_nonneighbors","saf_catering","spa_streets","spa_green","spa_playing"
"Langestraat e.o.","A Centrum",2017,29,0,19,2,1,83,599,484,653594,67100,0.46,1838,54,"2.high","1.low","2.high","2.average","2.average","3.high"
"Lastage","A Centrum",2017,16,0,20,4,1,163,211,287,363010,39800,0.36,1086,78,"1.low","1.low","1.low","2.average","2.average","2.average"
"Uilenburg","A Centrum",2017,15,2,12,2,1,292,301,203,378445,43800,0.38,1152,78,"2.high","1.low","2.high","1.low","1.low","1.low"
"Westelijke Eilanden","A Centrum",2017,37,1,25,9,1,868,567,237,399603,41500,0.38,2902,217,"2.high","1.low","2.high","2.average","2.average","3.high"
"Elandsgrachtbuurt","A Centrum",2017,50,6,37,13,1,1006,812,1107,353556,39100,0.38,4257,308,"1.low","1.low","1.low","2.average","1.low","1.low"
"Anjeliersbuurt Zuid","A Centrum",2017,49,0,23,6,1,956,545,459,347941,35900,0.35,2957,252,"2.high","1.low","1.low","3.high","2.average","2.average"
"Weteringbuurt","A Centrum",2017,26,3,37,4,1,131,668,706,433705,50900,0.42,2418,114,"2.high","1.low","1.low","2.average","3.high","2.average"
"Frederikspleinbuurt","A Centrum",2017,5,0,20,1,1,108,255,187,548899,61000,0.43,906,46,"2.high","1.low","2.high","2.average","3.high","3.high"
"Weesperbuurt","A Centrum",2017,31,0,47,8,1,535,565,611,390901,41800,0.42,3247,200,"2.high","1.low","2.high","2.average","2.average","2.average"
"Wittenburg","A Centrum",2017,33,0,14,14,1,811,392,98,305743,35200,0.3,2197,244,"2.high","1.low","2.high","2.average","2.average","2.average"
"Czaar Peterbuurt","A Centrum",2017,21,3,22,9,1,813,326,312,240673,33200,0.3,2230,282,"1.low","1.low","2.high","1.low","2.average","2.average"
"Zeeheldenbuurt","E West",2017,22,0,23,12,1,577,302,145,276801,33300,0.3,2090,243,"1.low","1.low","2.high","2.average","2.average","3.high"
"Spaarndammerbuurt Zuidwest","E West",2017,19,0,15,6,1,482,273,191,240285,33900,0.3,1739,147,"1.low","1.low","1.low","2.average","3.high","3.high"
"Staatsliedenbuurt Noordoost","E West",2017,9,1,8,3,1,572,139,32,261685,29800,0.27,1246,150,"2.high","1.low","2.high","2.average","3.high","3.high"
"Fannius Scholtenbuurt","E West",2017,47,2,30,12,1,1211,772,341,251845,33500,0.29,3711,427,"1.low","1.low","2.high","2.average","2.average","2.average"
"Frederik Hendrikbuurt Zuidoost","E West",2017,29,0,29,9,1,856,606,580,263040,36100,0.33,3293,365,"1.low","1.low","1.low","2.average","2.average","2.average"
"Da Costabuurt Noord","E West",2017,63,3,61,16,1,605,946,1106,339699,41500,0.35,4742,305,"2.high","2.high","2.high","2.average","2.average","2.average"
"Bellamybuurt Zuid","E West",2017,41,1,17,10,2,894,618,733,276769,35900,0.32,3592,321,"2.high","1.low","2.high","2.average","2.average","2.average"
"Da Costabuurt Zuid","E West",2017,32,0,15,4,1,314,565,562,290839,36200,0.32,2205,175,"2.high","1.low","2.high","2.average","2.average","2.average"
"Borgerbuurt","E West",2017,18,1,20,12,1,1348,267,104,260309,28800,0.28,2857,348,"2.high","1.low","1.low","2.average","2.average","2.average"
"Cremerbuurt West","E West",2017,58,1,59,19,1,667,1264,1418,319012,42100,0.33,5674,396,"1.low","2.high","2.high","2.average","3.high","3.high"
"Bosleeuw","E West",2017,46,2,23,16,2,1450,780,486,213256,32600,0.27,5832,620,"1.low","1.low","1.low","2.average","2.average","2.average"
"Landlust Zuid","E West",2017,31,1,18,14,1,1055,587,614,242974,33300,0.28,3983,431,"1.low","1.low","2.high","2.average","3.high","3.high"
"Gibraltarbuurt","E West",2017,49,0,17,11,1,1113,467,721,215904,29200,0.27,4187,548,"1.low","2.high","2.high","2.average","2.average","2.average"
"Erasmusparkbuurt West","E West",2017,70,0,32,10,2,252,1142,742,230535,36600,0.26,4000,246,"1.low","1.low","2.high","2.average","2.average","3.high"
"Kolenkitbuurt Noord","E West",2017,18,0,3,6,2,1231,170,30,197409,28800,0.25,3870,542,"2.high","1.low","2.high","1.low","1.low","1.low"
"Trompbuurt","E West",2017,49,3,25,11,2,282,545,752,296818,38000,0.3,3285,199,"1.low","1.low","2.high","1.low","2.average","2.average"
"John Franklinbuurt","E West",2017,10,2,8,7,1,505,222,398,232988,29400,0.27,1932,259,"1.low","1.low","2.high","1.low","2.average","2.average"
"Balboaplein e.o.","E West",2017,26,2,27,15,1,565,363,734,236497,32600,0.28,3161,330,"1.low","1.low","2.high","1.low","2.average","2.average"
"Columbusplein e.o.","E West",2017,37,0,26,10,1,1092,327,519,228264,30300,0.28,3601,469,"1.low","1.low","2.high","2.average","2.average","2.average"
"Postjeskade e.o.","E West",2017,39,3,22,7,1,315,468,874,287700,38700,0.29,3060,223,"1.low","1.low","2.high","3.high","3.high","3.high"
"Kortenaerkwartier","E West",2017,25,0,23,11,2,350,314,379,306838,37000,0.3,2207,186,"1.low","1.low","1.low","2.average","1.low","2.average"
"Filips van Almondekwartier","E West",2017,12,0,6,1,1,163,234,178,281031,37800,0.31,1130,92,"2.high","1.low","2.high","2.average","3.high","2.average"
"Buurt 3","F Nieuw-West",2017,21,1,12,16,3,1796,767,257,157900,30300,0.28,6019,714,"1.low","1.low","2.high","2.average","2.average","2.average"
"Slotermeer Zuid","F Nieuw-West",2017,7,0,11,9,1,1597,227,45,128808,24900,0.23,3409,507,"1.low","1.low","2.high","1.low","2.average","2.average"
"Buurt 4 Oost","F Nieuw-West",2017,8,0,14,14,2,759,547,187,174645,32900,0.26,3621,328,"2.high","1.low","1.low","1.low","2.average","1.low"
"Buurt 6","F Nieuw-West",2017,4,2,6,10,1,1235,36,12,154092,29400,0.23,3115,363,"1.low","1.low","2.high","1.low","2.average","1.low"
"Buurt 7","F Nieuw-West",2017,3,1,7,7,1,479,254,130,220317,36600,0.25,2434,138,"2.high","2.high","2.high","2.average","2.average","1.low"
"Buurt 8","F Nieuw-West",2017,15,1,17,17,1,1030,458,147,179206,32200,0.28,4049,369,"1.low","1.low","2.high","1.low","2.average","2.average"
"Buurt 9","F Nieuw-West",2017,6,1,8,16,1,1366,354,495,194126,31900,0.26,5886,602,"2.high","1.low","2.high","1.low","2.average","2.average"
"Wildeman","F Nieuw-West",2017,5,1,8,7,1,2105,239,84,137068,25700,0.2,4966,701,"1.low","1.low","2.high","1.low","2.average","1.low"
"Osdorp Zuidoost","F Nieuw-West",2017,8,0,33,9,2,998,752,156,188665,33100,0.26,3923,231,"2.high","1.low","2.high","2.average","2.average","2.average"
"Osdorp Midden Noord","F Nieuw-West",2017,2,0,3,10,2,1286,77,41,163395,28200,0.22,3271,353,"2.high","1.low","2.high","1.low","1.low","1.low"
"Zuidwestkwadrant Osdorp Noord","F Nieuw-West",2017,3,0,14,16,2,883,336,80,200972,32600,0.26,3131,243,"2.high","1.low","2.high","1.low","2.average","2.average"
"Zuidwestkwadrant Osdorp Zuid","F Nieuw-West",2017,11,2,23,20,1,801,1140,558,222466,38100,0.28,6218,470,"2.high","1.low","2.high","1.low","2.average","2.average"
"De Punt","F Nieuw-West",2017,9,1,6,16,2,1061,1009,525,166983,32300,0.24,5916,474,"2.high","1.low","2.high","2.average","2.average","1.low"
"De Aker Oost","F Nieuw-West",2017,13,2,37,12,2,466,1449,148,338747,52900,0.29,6051,322,"2.high","2.high","2.high","2.average","2.average","2.average"
"Emanuel van Meterenbuurt","F Nieuw-West",2017,11,1,14,12,1,181,319,422,217675,36800,0.29,2167,162,"2.high","2.high","2.high","2.average","2.average","2.average"
"Jacob Geelbuurt","F Nieuw-West",2017,10,0,8,10,2,877,105,383,165277,27700,0.22,3229,401,"1.low","1.low","2.high","1.low","2.average","1.low"
"Overtoomse Veld Noord","F Nieuw-West",2017,13,3,27,10,1,1372,469,396,209612,35900,0.28,6057,683,"2.high","2.high","2.high","1.low","2.average","1.low"
"Overtoomse Veld Zuid","F Nieuw-West",2017,11,2,19,18,1,622,326,315,202243,34000,0.25,2968,287,"2.high","1.low","2.high","1.low","1.low","1.low"
"Rembrandtpark Zuid","F Nieuw-West",2017,6,0,9,2,1,0,196,257,242977,42400,0.27,818,33,"1.low","1.low","2.high","2.average","3.high","3.high"
"Delflandpleinbuurt West","F Nieuw-West",2017,19,0,15,16,1,665,327,565,185604,32400,0.28,3083,299,"2.high","1.low","2.high","2.average","2.average","2.average"
"Nieuw Sloten Noordwest","F Nieuw-West",2017,5,1,20,13,1,411,579,229,278262,47000,0.25,3164,211,"2.high","2.high","2.high","2.average","3.high","2.average"
"Nieuw Sloten Noordoost","F Nieuw-West",2017,12,2,17,3,1,448,443,452,286619,44000,0.26,3148,179,"2.high","2.high","2.high","2.average","2.average","2.average"
"Nieuw Sloten Zuidoost","F Nieuw-West",2017,2,1,20,12,1,0,166,703,282866,44000,0.27,2154,120,"2.high","1.low","2.high","2.average","2.average","2.average"
"Louis Chrispijnbuurt","F Nieuw-West",2017,5,0,23,7,1,959,332,155,204084,30900,0.25,3162,258,"2.high","2.high","2.high","2.average","2.average","2.average"
"Staalmanbuurt","F Nieuw-West",2017,10,0,11,9,1,834,187,37,235325,35800,0.28,2782,284,"2.high","1.low","2.high","1.low","2.average","2.average"
"Hemonybuurt","K Zuid",2017,28,1,27,7,1,317,546,576,381259,43600,0.34,2574,166,"2.high","1.low","2.high","1.low","1.low","2.average"
"Sarphatiparkbuurt","K Zuid",2017,66,1,44,14,1,675,954,1583,307824,36300,0.34,5039,308,"1.low","1.low","1.low","1.low","2.average","2.average"
"Van der Helstpleinbuurt","K Zuid",2017,47,2,32,10,2,693,806,842,315428,39600,0.34,3815,300,"1.low","1.low","2.high","1.low","2.average","2.average"
"Burgemeester Tellegenbuurt West","K Zuid",2017,22,0,11,7,1,1044,185,89,295633,30000,0.28,2267,280,"1.low","2.high","2.high","2.average","2.average","2.average"
"Westlandgrachtbuurt","K Zuid",2017,33,3,47,14,2,343,731,943,296907,42600,0.31,3619,230,"2.high","1.low","2.high","2.average","3.high","2.average"
"Valeriusbuurt West","K Zuid",2017,23,2,34,3,1,211,575,448,638826,72300,0.45,2533,91,"2.high","2.high","2.high","2.average","3.high","2.average"
"Hondecoeterbuurt","K Zuid",2017,15,2,31,10,1,74,383,568,690601,79600,0.49,2090,86,"2.high","2.high","2.high","2.average","2.average","2.average"
"Marathonbuurt Oost","K Zuid",2017,10,2,25,5,1,700,99,77,338971,34000,0.32,1499,160,"1.low","2.high","2.high","2.average","2.average","3.high"
"Marathonbuurt West","K Zuid",2017,14,1,23,11,1,1202,220,99,269889,29000,0.29,2418,315,"2.high","2.high","2.high","2.average","2.average","2.average"
"Van Tuyllbuurt","K Zuid",2017,35,2,39,10,1,405,694,1202,349635,43500,0.33,4104,249,"1.low","2.high","2.high","2.average","2.average","3.high"
"Minervabuurt Midden","K Zuid",2017,15,0,32,3,1,0,585,517,750116,87000,0.45,2475,34,"2.high","2.high","2.high","2.average","3.high","3.high"
"Scheldebuurt West","K Zuid",2017,30,2,45,12,2,461,608,1139,406874,45500,0.34,4437,200,"2.high","2.high","2.high","2.average","3.high","2.average"
"Scheldebuurt Midden","K Zuid",2017,15,1,34,12,1,174,591,777,429198,48300,0.33,3242,99,"1.low","2.high","2.high","2.average","3.high","3.high"
"Scheldebuurt Oost","K Zuid",2017,21,1,35,7,1,150,410,608,378506,48700,0.33,2397,130,"2.high","2.high","2.high","2.average","3.high","3.high"
"Kromme Mijdrechtbuurt","K Zuid",2017,27,3,27,9,1,712,268,467,296895,34200,0.32,2522,284,"1.low","2.high","2.high","2.average","2.average","2.average"
"Gelderlandpleinbuurt","K Zuid",2017,11,3,30,16,1,799,914,930,268157,44400,0.38,4452,206,"2.high","2.high","2.high","2.average","3.high","2.average"
"Buitenveldert Midden Zuid","K Zuid",2017,14,1,39,13,3,393,1044,582,262371,40600,0.29,3606,174,"2.high","2.high","2.high","2.average","3.high","3.high"
"Buitenveldert Zuidwest","K Zuid",2017,7,4,62,16,1,664,900,747,304084,44500,0.35,3961,187,"2.high","2.high","2.high","3.high","3.high","3.high"
"Buitenveldert Zuidoost","K Zuid",2017,8,4,27,6,1,339,964,896,280583,46400,0.38,3879,150,"2.high","2.high","2.high","3.high","3.high","2.average"
"Weesperzijde Midden/Zuid","M Oost",2017,37,3,25,8,1,442,645,505,369818,45100,0.35,2995,202,"2.high","1.low","1.low","2.average","2.average","2.average"
"Oosterparkbuurt Noordwest","M Oost",2017,32,1,47,21,1,1352,599,306,289646,34200,0.3,3941,375,"2.high","2.high","2.high","2.average","3.high","3.high"
"Oosterparkbuurt Zuidoost","M Oost",2017,37,0,47,17,2,886,663,467,327093,39000,0.33,3747,322,"2.high","1.low","1.low","2.average","2.average","2.average"
"Dapperbuurt Zuid","M Oost",2017,32,0,45,17,1,1243,444,324,282507,33300,0.3,3710,409,"1.low","1.low","2.high","2.average","2.average","2.average"
"Oostpoort","M Oost",2017,11,2,8,10,1,317,192,359,335533,41300,0.32,1725,207,"2.high","2.high","2.high","2.average","2.average","2.average"
"Transvaalbuurt West","M Oost",2017,33,1,21,11,1,1375,561,212,261908,31800,0.28,4116,474,"1.low","1.low","2.high","2.average","2.average","2.average"
"Transvaalbuurt Oost","M Oost",2017,47,0,29,15,1,1532,536,478,301308,33200,0.29,5297,605,"2.high","1.low","2.high","2.average","2.average","2.average"
"Noordwestkwadrant Indische Buurt Noord","M Oost",2017,37,3,27,9,1,1099,858,367,251340,34300,0.3,3844,352,"2.high","1.low","2.high","2.average","2.average","2.average"
"Zuidwestkwadrant Indische Buurt","M Oost",2017,28,1,23,10,1,1482,333,100,253831,29900,0.26,4129,537,"2.high","2.high","2.high","1.low","2.average","2.average"
"Noordoostkwadrant Indische Buurt","M Oost",2017,37,3,30,15,2,2099,617,321,244076,30100,0.26,6034,803,"2.high","1.low","2.high","2.average","2.average","2.average"
"Zuidoostkwadrant Indische Buurt","M Oost",2017,30,0,12,11,1,1219,393,179,248995,31700,0.28,3746,467,"2.high","1.low","2.high","1.low","2.average","2.average"
"Rietlanden","M Oost",2017,13,4,28,5,1,432,475,312,380804,50700,0.32,2503,152,"2.high","2.high","2.high","3.high","2.average","3.high"
"Java-eiland","M Oost",2017,28,2,20,12,1,307,515,749,419413,52100,0.31,3216,131,"2.high","2.high","2.high","3.high","3.high","3.high"
"Sporenburg","M Oost",2017,18,1,12,5,1,388,551,47,432121,60000,0.29,2657,137,"2.high","2.high","2.high","3.high","3.high","3.high"
"Borneo","M Oost",2017,41,1,27,10,1,296,398,412,445587,54200,0.3,2891,141,"2.high","2.high","2.high","3.high","2.average","2.average"
"RI Oost terrein","M Oost",2017,27,0,5,1,1,33,109,730,182126,39400,0.32,1232,47,"2.high","2.high","2.high","1.low","1.low","1.low"
"Steigereiland Noord","M Oost",2017,12,0,9,5,1,194,208,192,293429,51800,0.33,1481,83,"2.high","2.high","2.high","1.low","1.low","1.low"
"Steigereiland Zuid","M Oost",2017,6,1,29,16,1,345,493,74,412901,57300,0.31,2616,163,"2.high","2.high","2.high","3.high","2.average","2.average"
"Haveneiland Zuidwest/Rieteiland West","M Oost",2017,15,0,20,7,1,119,588,258,556709,76900,0.32,2877,95,"2.high","2.high","2.high","3.high","3.high","3.high"
"Haveneiland Noordwest","M Oost",2017,14,1,25,10,1,418,385,305,315270,46700,0.31,2478,165,"2.high","1.low","2.high","2.average","2.average","2.average"
"Haveneiland Noordoost","M Oost",2017,21,2,40,23,1,821,926,178,300283,48300,0.3,5079,340,"2.high","1.low","2.high","2.average","2.average","2.average"
"Haveneiland Oost","M Oost",2017,42,1,23,22,2,818,907,267,375189,56800,0.31,5684,330,"2.high","2.high","2.high","2.average","3.high","3.high"
"Haveneiland Noord","M Oost",2017,9,1,6,5,2,360,227,174,258637,39100,0.28,1817,166,"2.high","2.high","2.high","2.average","2.average","2.average"
"Tuindorp Frankendael","M Oost",2017,16,0,17,17,1,989,189,398,261382,32100,0.31,2470,240,"2.high","2.high","2.high","2.average","3.high","2.average"
"Linnaeusparkbuurt","M Oost",2017,26,2,38,8,2,242,565,464,444736,55400,0.36,2570,83,"2.high","2.high","2.high","3.high","3.high","3.high"
"Middenmeer Noord","M Oost",2017,24,1,32,4,2,255,496,446,458052,53300,0.32,3026,116,"2.high","2.high","2.high","3.high","3.high","2.average"
"Amstelkwartier Noord","M Oost",2017,7,0,9,3,1,106,196,705,228134,43500,0.36,1382,55,"2.high","1.low","2.high","2.average","3.high","2.average"
"Van der Pekbuurt","N Noord",2017,41,0,26,13,2,2132,182,181,181484,27100,0.25,4869,769,"1.low","1.low","2.high","1.low","2.average","2.average"
"Bloemenbuurt Zuid","N Noord",2017,14,1,11,11,1,1010,80,93,193733,28100,0.23,2476,347,"1.low","1.low","2.high","1.low","2.average","2.average"
"IJplein e.o.","N Noord",2017,18,0,8,5,1,1062,306,59,193976,27900,0.23,2520,370,"1.low","1.low","2.high","1.low","2.average","2.average"
"Vogelbuurt Zuid","N Noord",2017,48,1,18,14,2,1453,396,141,199227,29400,0.26,4339,558,"2.high","1.low","2.high","1.low","2.average","2.average"
"Tuindorp Oostzaan Oost","N Noord",2017,24,2,25,13,1,1370,458,163,190243,32600,0.21,4201,389,"2.high","2.high","2.high","2.average","2.average","1.low"
"De Bongerd","N Noord",2017,6,0,3,5,1,163,317,77,331688,50900,0.25,1995,116,"1.low","1.low","2.high","2.average","2.average","2.average"
"Molenwijk","N Noord",2017,4,0,7,5,2,1167,208,42,156952,28400,0.21,3092,361,"2.high","1.low","2.high","1.low","2.average","2.average"
"Kadoelen","N Noord",2017,11,3,14,8,1,209,457,111,332433,52500,0.31,1943,94,"2.high","1.low","2.high","2.average","2.average","1.low"
"Werengouw Midden","N Noord",2017,15,0,21,16,1,1384,590,381,169965,29700,0.23,4990,530,"1.low","1.low","2.high","1.low","2.average","2.average"
"Markengouw Midden","N Noord",2017,5,0,6,13,2,959,225,116,214338,34800,0.25,3728,390,"1.low","1.low","2.high","1.low","1.low","1.low"
"Markengouw Zuid","N Noord",2017,2,0,2,8,1,476,118,56,187059,35200,0.29,1882,159,"1.low","2.high","2.high","1.low","1.low","1.low"
"Plan van Gool","N Noord",2017,7,0,5,15,3,973,277,151,179759,30700,0.24,3070,401,"1.low","1.low","2.high","1.low","1.low","2.average"
"De Kleine Wereld","N Noord",2017,1,0,3,9,3,986,140,25,160333,28300,0.22,2848,398,"1.low","1.low","2.high","1.low","2.average","1.low"
"Banne Zuidoost","N Noord",2017,11,2,19,10,1,990,508,221,200240,33600,0.26,3586,385,"2.high","1.low","2.high","1.low","2.average","1.low"
"Banne Noordwest","N Noord",2017,5,0,2,12,3,849,234,38,161364,29600,0.21,2641,326,"2.high","2.high","2.high","1.low","2.average","2.average"
"Elzenhagen Noord","N Noord",2017,11,1,6,2,1,125,461,143,331050,54300,0.25,2186,86,"2.high","2.high","2.high","2.average","2.average","2.average"
"Venserpolder West","T Zuidoost",2017,9,0,7,26,1,1966,664,187,153254,25900,0.24,5217,808,"1.low","1.low","2.high","1.low","2.average","1.low"
"D-buurt","T Zuidoost",2017,4,0,6,13,1,401,29,1251,64237,20400,0.22,2063,116,"1.low","1.low","2.high","2.average","2.average","2.average"
"F-buurt","T Zuidoost",2017,12,0,25,35,1,579,579,165,199748,36800,0.26,3826,358,"2.high","1.low","2.high","1.low","2.average","2.average"
"E-buurt","T Zuidoost",2017,3,0,7,17,3,195,241,198,234390,42500,0.27,2012,122,"2.high","2.high","2.high","2.average","2.average","2.average"
"Kortvoort","T Zuidoost",2017,8,0,6,20,3,1168,170,38,113826,23600,0.21,2668,467,"2.high","2.high","2.high","2.average","2.average","2.average"
"G-buurt Oost","T Zuidoost",2017,10,2,13,11,2,349,1191,181,178484,37100,0.28,3142,207,"2.high","2.high","2.high","3.high","3.high","2.average"
"Kantershof","T Zuidoost",2017,1,1,8,12,2,396,535,125,158632,29900,0.25,2196,216,"2.high","1.low","2.high","2.average","3.high","2.average"
"L-buurt","T Zuidoost",2017,7,0,15,22,1,337,698,618,136887,34100,0.24,2921,183,"1.low","2.high","2.high","3.high","3.high","3.high"
"Holendrecht Noordwest","T Zuidoost",2017,4,1,7,20,3,1384,0,0,122239,24800,0.18,2923,511,"1.low","1.low","2.high","2.average","2.average","2.average"
"Holendrecht Oost","T Zuidoost",2017,9,0,4,11,1,306,520,242,205035,41200,0.23,2493,168,"2.high","2.high","2.high","2.average","3.high","2.average"
"Gaasperdam Zuid","T Zuidoost",2017,9,1,6,18,2,498,297,56,129886,28200,0.23,1512,195,"2.high","1.low","2.high","3.high","3.high","2.average"
"Gein Noordwest","T Zuidoost",2017,7,2,8,26,2,1055,319,192,135958,27500,0.23,3016,442,"1.low","1.low","2.high","2.average","2.average","2.average"
"Gein Noordoost","T Zuidoost",2017,3,0,9,14,1,0,1199,62,230662,50200,0.21,3406,178,"2.high","2.high","2.high","2.average","2.average","2.average"
"Dorp Driemond","T Zuidoost",2017,1,1,5,3,2,245,304,63,243726,45500,0.25,1457,81,"2.high","2.high","2.high","1.low","2.average","2.average"
"Burgwallen Oost","A Centrum",2015,18,2,15,6,0,78,182,721,267918,30700,0.36,1571,68,"1.low","1.low","1.low","2.average","1.low","1.low"
"Langestraat e.o.","A Centrum",2015,28,0,21,6,1,81,544,537,494103,61100,0.43,1827,44,"2.high","1.low","2.high","3.high","2.average","3.high"
"Leliegracht e.o.","A Centrum",2015,21,0,39,3,0,233,446,558,514701,69400,0.54,1785,51,"2.high","1.low","1.low","2.average","2.average","2.average"
"Felix Meritisbuurt","A Centrum",2015,33,2,24,10,0,115,563,751,481035,64500,0.51,2142,62,"2.high","1.low","1.low","3.high","2.average","1.low"
"Amstelveldbuurt","A Centrum",2015,11,1,30,2,0,81,399,435,498200,87400,0.63,1524,76,"2.high","1.low","1.low","3.high","3.high","2.average"
"Lastage","A Centrum",2015,18,0,14,4,1,167,185,297,291416,36800,0.34,1069,60,"1.low","1.low","1.low","1.low","1.low","2.average"
"Nieuwmarkt","A Centrum",2015,18,0,18,8,0,764,158,155,267708,30300,0.33,1642,156,"2.high","1.low","1.low","2.average","2.average","2.average"
"Westerdokseiland","A Centrum",2015,13,1,18,5,0,270,385,326,385352,55800,0.4,1976,121,"2.high","2.high","2.high","2.average","2.average","2.average"
"Haarlemmerbuurt Oost","A Centrum",2015,29,2,20,3,0,356,234,446,305065,40200,0.39,1522,90,"1.low","1.low","1.low","3.high","2.average","2.average"
"Haarlemmerbuurt West","A Centrum",2015,33,0,22,6,0,697,345,480,286195,37300,0.37,2474,213,"2.high","1.low","1.low","2.average","2.average","2.average"
"Westelijke Eilanden","A Centrum",2015,28,1,21,8,1,919,509,232,317841,41100,0.4,2817,199,"2.high","2.high","2.high","3.high","2.average","3.high"
"Driehoekbuurt","A Centrum",2015,48,3,27,8,0,756,508,602,257615,34100,0.35,2776,238,"2.high","1.low","2.high","3.high","2.average","2.average"
"Bloemgrachtbuurt","A Centrum",2015,30,1,24,1,0,439,608,862,330551,41900,0.42,2981,192,"2.high","1.low","1.low","3.high","2.average","2.average"
"Marnixbuurt Noord","A Centrum",2015,19,0,11,2,0,516,169,271,249579,30800,0.31,1488,143,"2.high","1.low","2.high","3.high","2.average","2.average"
"Elandsgrachtbuurt","A Centrum",2015,50,7,35,11,1,1008,722,1180,290125,36100,0.39,4276,318,"2.high","1.low","1.low","2.average","2.average","2.average"
"Anjeliersbuurt Noord","A Centrum",2015,29,1,33,7,0,435,390,514,315274,41300,0.4,2165,157,"2.high","1.low","1.low","3.high","2.average","3.high"
"Anjeliersbuurt Zuid","A Centrum",2015,45,0,25,4,2,1001,505,485,282555,33600,0.34,2928,267,"2.high","1.low","1.low","3.high","2.average","2.average"
"Weteringbuurt","A Centrum",2015,22,3,40,6,1,131,600,775,340502,47000,0.41,2417,120,"2.high","1.low","1.low","3.high","2.average","2.average"
"Den Texbuurt","A Centrum",2015,9,0,21,4,0,112,216,206,454932,47600,0.34,1076,39,"2.high","2.high","2.high","3.high","2.average","3.high"
"Utrechtsebuurt Zuid","A Centrum",2015,10,1,11,1,0,129,307,346,364014,43700,0.37,1186,64,"2.high","1.low","1.low","3.high","2.average","2.average"
"Frederikspleinbuurt","A Centrum",2015,5,1,20,2,1,110,235,195,434319,57900,0.42,966,40,"2.high","1.low","2.high","2.average","2.average","2.average"
"Weesperbuurt","A Centrum",2015,32,0,36,10,1,762,496,649,297239,35900,0.38,3263,251,"2.high","2.high","2.high","2.average","2.average","1.low"
"Sarphatistrook","A Centrum",2015,18,2,23,5,0,497,311,328,313931,36600,0.4,2068,285,"2.high","1.low","2.high","2.average","2.average","2.average"
"de Plantage","A Centrum",2015,23,0,22,14,0,226,475,367,376731,49800,0.39,2117,97,"2.high","2.high","2.high","2.average","3.high","2.average"
"Kattenburg","A Centrum",2015,9,0,2,3,0,840,131,45,240735,31200,0.25,1705,124,"2.high","2.high","2.high","2.average","3.high","3.high"
"Wittenburg","A Centrum",2015,34,0,11,11,1,828,368,105,239770,32900,0.29,2225,270,"2.high","2.high","2.high","2.average","3.high","3.high"
"Oostenburg","A Centrum",2015,12,2,8,8,0,570,192,68,214391,30800,0.28,1553,220,"2.high","2.high","2.high","2.average","2.average","2.average"
"Czaar Peterbuurt","A Centrum",2015,15,2,20,7,1,867,211,263,196464,30100,0.31,2033,248,"1.low","1.low","2.high","2.average","2.average","2.average"
"Het Funen","A Centrum",2015,6,0,10,2,0,177,334,52,363296,49900,0.3,1393,77,"2.high","2.high","2.high","2.average","2.average","3.high"
"Kadijken","A Centrum",2015,43,0,33,3,0,885,495,267,289738,40900,0.37,2799,226,"2.high","2.high","2.high","3.high","2.average","3.high"
"Zeeheldenbuurt","E West",2015,23,0,14,13,1,598,262,163,223091,30700,0.3,1987,254,"2.high","2.high","2.high","2.average","2.average","3.high"
"Spaarndammerbuurt Noordoost","E West",2015,22,0,5,5,0,1262,291,89,212855,27600,0.27,2762,435,"1.low","1.low","2.high","1.low","2.average","2.average"
"Spaarndammerbuurt Zuidwest","E West",2015,18,0,16,5,1,498,253,196,194681,30300,0.27,1750,149,"1.low","1.low","2.high","2.average","3.high","3.high"
"Spaarndammerbuurt Midden","E West",2015,19,0,6,8,0,440,156,133,204367,29600,0.28,1275,148,"2.high","1.low","2.high","2.average","2.average","2.average"
"Spaarndammerbuurt Noordwest","E West",2015,18,1,9,4,0,959,105,13,213469,30800,0.27,1951,280,"1.low","2.high","2.high","2.average","2.average","2.average"
"De Wittenbuurt Noord","E West",2015,32,1,11,5,0,388,198,246,244963,35300,0.33,1379,110,"1.low","1.low","2.high","1.low","2.average","2.average"
"Staatsliedenbuurt Noordoost","E West",2015,9,1,5,3,1,588,127,28,198889,28100,0.27,1236,144,"1.low","2.high","2.high","2.average","2.average","2.average"
"Fannius Scholtenbuurt","E West",2015,35,1,31,11,1,1277,707,361,202993,30800,0.29,3639,405,"1.low","1.low","2.high","2.average","2.average","2.average"
"Westerstaatsman","E West",2015,36,3,26,8,0,657,649,440,198894,32600,0.29,2849,267,"2.high","2.high","2.high","2.average","3.high","3.high"
"Buyskade e.o.","E West",2015,31,5,29,6,0,583,557,463,268667,39200,0.3,3063,235,"2.high","2.high","2.high","2.average","2.average","2.average"
"Ecowijk","E West",2015,9,0,2,4,0,273,295,33,293375,43000,0.26,1392,113,"2.high","1.low","2.high","3.high","3.high","3.high"
"Frederik Hendrikbuurt Noord","E West",2015,43,4,38,6,0,771,625,852,224959,34100,0.32,3826,351,"1.low","2.high","2.high","2.average","2.average","3.high"
